rank,title,Previous Rank,Revenues (USDM),Revenue Change,Profits (USDM),Profit Change,Assets (USDM),Mkt Value as of 3/29/18 (USDM),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
1,Walmart,1,"USD500,343 ",3.00%,"USD9,862.00 ",-27.70%,"USD204,522 ","USD263,563 ","2,300,000",C. Douglas McMillon,"President, Chief Executive Officer &amp;  Director",Retailing,General Merchandisers,24,Bentonville,AR,36.3728538,-94.2088172
2,Exxon Mobil,4,"USD244,363 ",17.40%,"USD19,710.00 ",151.40%,"USD348,691 ","USD316,157 ","71,200",Darren W. Woods,Chairman &amp;  Chief Executive Officer,Energy,Petroleum Refining,24,Irving,TX,32.8140177,-96.9488945
3,Berkshire Hathaway,2,"USD242,137 ",8.30%,"USD44,940.00 ",86.70%,"USD702,095 ","USD492,008 ","377,000",Warren E. Buffett,"Chairman, President &amp;  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),24,Omaha,NE,41.2565369,-95.9345034
4,Apple,3,"USD229,234 ",6.30%,"USD48,351.00 ",5.80%,"USD375,319 ","USD851,318 ","123,000",Timothy D. Cook,Chairman &amp;  Chief Executive Officer,Technology,"Computers, Office Equipment",24,Cupertino,CA,37.3229978,-122.0321823
5,UnitedHealth Group,6,"USD201,159 ",8.80%,"USD10,558.00 ",50.50%,"USD139,058 ","USD207,080 ","260,000",David S. Wichmann,Chairman &amp;  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,24,Minnetonka,MN,44.9211836,-93.4687489
6,McKesson,5,"USD198,533 ",3.10%,"USD5,070.00 ",124.50%,"USD60,969 ","USD29,067 ","64,500",John H. Hammergren,"Chairman, President &amp;  Chief Executive Officer",Wholesalers,Wholesalers: Health Care,24,SF,CA,37.7749295,-122.4194155
7,CVS Health,7,"USD184,765 ",4.10%,"USD6,622.00 ",24.50%,"USD95,131 ","USD63,114 ","203,000",Larry J. Merlo,"President, Chief Executive Officer &amp;  Director",Health Care,Health Care: Pharmacy and Other Services,24,Woonsocket,RI,42.0028761,-71.5147839
8,Amazon.com,12,"USD177,866 ",30.80%,"USD3,033.00 ",27.90%,"USD131,310 ","USD700,668 ","566,000",Jeffrey P. Bezos,"Chairman, President &amp;  Chief Executive Officer",Retailing,Internet Services and Retailing,17,Seattle,WA,47.6062095,-122.3320708
9,AT&amp;T,9,"USD160,546 ",-2.00%,"USD29,450.00 ",127.00%,"USD444,097 ","USD218,946 ","254,000",Randall L. Stephenson,"Chairman, President &amp;  Chief Executive Officer",Telecommunications,Telecommunications,24,Dallas,TX,32.7766642,-96.7969879
10,General Motors,8,"USD157,311 ",-5.50%,"(USD3,864.00)",-141.00%,"USD212,482 ","USD50,972 ","180,000",Mary T. Barra,Chairman &amp;  Chief Executive Officer,Motor Vehicles &amp;  Parts,Motor Vehicles and Parts,24,Detroit,MI,42.331427,-83.0457538
11,Ford Motor,10,"USD156,776 ",3.30%,"USD7,602.00 ",65.40%,"USD257,808 ","USD44,244 ","202,000",James P. Hackett,"President, Chief Executive Officer &amp;  Director",Motor Vehicles &amp;  Parts,Motor Vehicles and Parts,24,Dearborn,MI,42.3222599,-83.1763145
12,AmerisourceBergen,11,"USD153,144 ",4.30%,USD364.50 ,-74.50%,"USD35,317 ","USD18,938 ","19,500",Steven H. Collis,"Chairman, President &amp;  Chief Executive Officer",Wholesalers,Wholesalers: Health Care,24,Chesterbrook,PA,40.0756627,-75.4590816
13,Chevron,19,"USD134,533 ",25.10%,"USD9,195.00 ",-,"USD253,806 ","USD217,845 ","51,900",Michael K. Wirth,Chairman &amp;  Chief Executive Officer,Energy,Petroleum Refining,24,San Ramon,CA,37.7799273,-121.9780153
14,Cardinal Health,15,"USD129,976 ",6.90%,"USD1,288.00 ",-9.70%,"USD40,112 ","USD19,726 ","40,400",Michael C. Kaufmann,Chairman &amp;  Chief Executive Officer,Wholesalers,Wholesalers: Health Care,24,Dublin,OH,40.0992294,-83.1140771
15,Costco,16,"USD129,025 ",8.70%,"USD2,679.00 ",14.00%,"USD36,347 ","USD82,687 ","182,000",W. Craig Jelinek,"President, Chief Executive Officer &amp;  Director",Retailing,General Merchandisers,24,Issaquah,WA,47.5301011,-122.0326191
16,Verizon,14,"USD126,034 ",0.00%,"USD30,101.00 ",129.30%,"USD257,143 ","USD197,497 ","155,400",Lowell C. McAdam,Chairman &amp;  Chief Executive Officer,Telecommunications,Telecommunications,24,New York,NY,40.7127753,-74.0059728
17,Kroger,18,"USD122,662 ",6.40%,"USD1,907.00 ",-3.40%,"USD37,197 ","USD20,828 ","449,000",W. Rodney McMullen,Chairman &amp;  Chief Executive Officer,Food &amp;  Drug Stores,Food and Drug Stores,24,Cincinnati,OH,39.1031182,-84.5120196
18,General Electric,13,"USD122,274 ",-3.50%,"(USD5,786.00)",-165.50%,"USD377,945 ","USD117,054 ","313,000",John L. Flannery Jr.,Chairman &amp;  Chief Executive Officer,Industrials,Industrial Machinery,24,Boston,MA,42.3600825,-71.0588801
19,Walgreens Boots Alliance,17,"USD118,214 ",0.70%,"USD4,078.00 ",-2.30%,"USD66,009 ","USD64,924 ","290,000",Stefano Pessina,Vice Chairman &amp;  Chief Executive Officer,Food &amp;  Drug Stores,Food and Drug Stores,24,Deerfield,IL,42.1711365,-87.8445119
20,JPMorgan Chase,21,"USD113,899 ",8.00%,"USD24,441.00 ",-1.20%,"USD2,533,600 ","USD375,043 ","252,539",James Dimon,Chairman &amp;  Chief Executive Officer,Financials,Commercial Banks,24,New York,NY,40.7127753,-74.0059728
21,Fannie Mae,20,"USD112,394 ",4.90%,"USD2,463.00 ",-80.00%,"USD3,345,529 ","USD1,633 ","7,200",Timothy J. Mayopoulos,"President, Chief Executive Officer &amp;  Director",Financials,Diversified Financials,21,Leavenworth,WA,47.7510741,-120.7401385
